account,symbol,quantity
account28071,ZM,42823.216717230345
account28029,AVSC,14956.66461802559
account28016,CVGW,16393.004465689795
account28041,AVGO,15737.635805883547
account28065,JMBRF,25942.1788947107
account28029,LAD,23825.908760114246
account28041,AVGO,15737.635805883547
account28029,CVGW,17728.303412428293
account28070,AVGO,23749.42948631454
account28041,MPWR,27932.84650125545
account28066,AVGO,18408.233699360546
account28068,CMMB,22741.814869479167
account28041,ABVC,15183.308047003007
account28066,CVGW,21734.20025264379
account28071,GPN,32845.31705738061
account28016,AVGO,13067.037912406551
account28016,LOVE,23599.265331136827
account28041,AVGO,15737.635805883547
account28016,GLDM,20273.298777853583
account28065,ZBH,34257.095277918816
account28016,CVGW,16393.004465689795
account28041,ABVC,15183.308047003007
account28041,AVGO,15737.635805883547
account28016,LAD,22490.609813375748
account28016,DECK,17501.659983450878
account28066,ONL,31712.099912493526
account28041,COST,17954.946841405712
account28065,TWLO,33702.76751903828
account28029,ABVC,13848.009100264508
account28041,EXPD,21280.913394688956
account28041,TROW,31813.14081341923
account28016,AVGO,13067.037912406551
account28041,AVGO,15737.635805883547
account28016,ABVC,12512.71015352601
account28041,ROK,31258.813054538696
account28029,DEA,18282.631171308836
account28041,ABVC,15183.308047003007
account28016,NTAP,25816.576366658992
account28068,NTAP,33828.370047089986
account28071,MCK,36725.6113695444
account28041,RJF,30704.485295658153
account28069,GILD,29066.06364614253
account28016,AVGO,13067.037912406551
account28041,AVGO,15737.635805883547
account28029,AVSC,14956.66461802559
account28068,ABVC,20524.503833957002
account28029,LAD,23825.908760114246
account28016,RJF,28033.887402181157
account28041,ZBH,32921.79633118032
account28065,AVGO,17072.934752622044
account28016,DEA,16947.33222457034
account28029,JMBRF,23271.581001233702
account28041,LAD,25161.207706852743
account28067,CVGW,23069.49919938229
account28065,NTAP,29822.473206874492
account28041,ABVC,15183.308047003007
account28041,CTSH,18509.274600286255
account28016,ZBH,30251.198437703322
account28066,ZBH,35592.39422465731
account28041,NTAP,28487.17426013599
account28029,MPWR,26597.54755451695
account28016,AVGO,13067.037912406551
account28041,TWLO,32367.468572299775
account28069,CTSH,25185.769333978744
account28041,AVGO,15737.635805883547
account28041,MA,26824.190983494365
account28029,EXPD,19945.61444795046
account28041,NTAP,28487.17426013599
account28065,LAD,26496.50665359124
account28041,AVGO,15737.635805883547
account28016,LNTH,23044.937572256287
account28066,CMMB,20071.216976002168
account28069,GILD,29066.06364614253
account28016,TROW,29142.542919942236
account28041,COST,17954.946841405712
account28016,JMBRF,21936.282054495205
account28067,ZBH,36927.69317139581
account28016,MA,24153.59309001737
account28065,NTAP,29822.473206874492
account28041,IDXX,24052.552189091664
account28041,ZBH,32921.79633118032
account28065,LAD,26496.50665359124
account28041,OPCH,29595.829777897074
account28065,IDXX,25387.851135830162
account28029,OPCH,28260.530831158572
account28016,AVGO,13067.037912406551
account28066,CVGW,21734.20025264379
account28041,CCAP,16846.29132364463
account28065,ABVC,16518.606993741505
account28041,AVGO,15737.635805883547
account28066,ZM,36146.72198353786
account28016,COST,15284.348947928715
account28066,RJF,33375.08318913515
account28041,AVGO,15737.635805883547
account28069,AVGO,22414.13053957604
account28041,GPN,23498.22443021112
account28069,RJF,37380.98002935065
account28041,EMN,20726.585635808417
account28065,ROK,32594.112001277193
account28041,AVSC,16291.96356476409
account28029,CTSH,17173.975653547754
account28029,ABVC,13848.009100264508
account28029,AVGO,14402.336859145049
account28065,ROK,32594.112001277193
