account,symbol,quantity,price
account28189,ELV,0.006,239.58
account28185,EXPE,0.048,132.44
account28180,ONDS,0.959,41.84
account28177,EBR,20.188,33.37
account28174,ASAI,2.525,144.08
account28170,ASAI,1.03,144.08
account28167,EXPE,0.325,132.44
account28166,WRK,0.581,48.93
account28163,NVS,0.004,94.32
account28159,ADMT,1.475,42.19
account28156,VRAYQ,0.142,37.85
account28155,VRAYQ,0.758,37.85
account28146,JJSF,0.007,141.16
account28145,JJSF,0.001,141.16
account28144,JJSF,0.004,141.16
account28143,JJSF,0.004,141.16
account28134,FFIN,0.02,32.01
account28133,PKBK,0.454,72.57
account28132,OUSM,0.311,41.86
account28128,FFIN,0.013,32.01
account28123,PPL,0.666,27.54
account28120,FFIN,0.002,32.01
account28119,NVS,3.308,94.32
account28118,FFIN,0.002,32.01
account28151,CRM,0.005,295.96
account28111,OPAD,0.775,8.1
account28110,OPAD,0.002,8.1
account28108,ZI,0.002,15.79
account28107,ZI,0.005,15.79
account28103,ASTS,0.944,2.29
account28101,META,0.035,492.31
account28096,ABBV,0.135,179.78
account28094,MCD,0.539,278.81
account28092,HSTM,0.079,25.97
account28091,ADXDF,0.048,41.76
account28090,GASS,25.855,153.87
account28089,TOL,0.335,122.69
account28088,MMSI,0.195,74.53
account28087,MMSI,0.471,74.53
account28185,QLYS,0.007,164.7
account28086,LH,0.174,42.12
account28085,CVX,0.016,161.06
account28084,HSY,0.001,198.59
account28085,AJG,0.002,248.11
account28185,AAPL,2.191,169.01
account28085,KEY,0.007,15.39
account28083,PGR,0.22,22.43
account28082,FPI,0.988,57.78
account28185,PFGC,0.078,73.9
account28085,ATO,0.001,118.21
account28089,TROW,0.402,118.92
account28085,VICI,0.007,29.53
account28081,AVB,0.014,180.32
account28080,USLM,165.772,74.33
account28081,ATO,0.018,118.21
account28079,NTAP,0.763,104.02
account28078,CBOE,0.044,182.04
account28081,LPLA,0.004,265.67
account28085,SO,0.008,71.66
account28085,MCD,0.006,278.81
account28081,LDOS,0.006,130.38
account28076,LW,0.002,103.75
account28085,SRE,0.003,71.78
account28082,RPT,0.75,71.6
account28074,CMCSA,0.224,42.18
account28073,RITM,0.099,10.94
account28072,CBOE,0.123,182.04
account28071,IDXX,0.001,521.5
account28082,AVGO,0.013,1311.74
account28070,FVRR,0.02,19.88
account28069,CCAP,1.952,38.46
account28068,CEG,0.008,185.21
account28085,WBD,0.019,8.53
account28067,ZM,0.028,63.36
account28066,BOREF,0.44,6.1
account28167,AMT,12.265,192.36
account28065,GGG,0.001,91.83
account28063,OPCH,0.071,32.12
account28071,CNP,0.007,28.62
account28071,MPC,0.006,207.72
account28062,GEMD,0.822,40.48
account28066,DEA,0.145,11.2
account28061,ASTS,12.898,2.29
account28065,RJF,0.001,128.54
account28065,CSX,0.026,36.6
account28065,ZBH,0.001,128.7
account28059,ONL,0.184,41.83
account28065,MA,0.009,477.54
account28057,GILD,0.008,72.55
account28056,ABBV,0.005,179.78
account28055,EMN,14.246,84.1
account28053,DECK,0.003,897.58
account28052,ROK,0.001,281.75
account28051,LAD,0.028,288.84
account28050,GPN,0.001,128.61
account28062,ROK,0.001,281.75
account28045,ZM,0.009,63.36
account28044,LAD,0.04,288.84
account28043,CTSH,0.001,71.54
account28042,PK,0.227,17.26
